User Review,Star Rating,Date
Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

Still not a clean integration to capture emails to prospects. Sometimes it works and other times it doesn't. I have to waste time searching for instruction on how to connect HubSpot to Office 365.,2 of 5,Nov 24 2021

I have to log in with a security code every single day. It opens in Internet Explorer 11 which is not supported. Your tech people could not fix this.,1 of 5,Nov 24 2021

outlook + HubSpot is working very well. i like how it syncs emails to HubSpot,5 of 5,Nov 23 2021

Ha funcionado bien y me ayuda en lo que necesito para mis actividades de cada día,5 of 5,Nov 23 2021

How well is Outlook working for you - guess you mean the HubSpot add-in? Not at all - useless crashes Outlook repeatedly and cannot be used at all. Has to be disabled.,1 of 5,Nov 23 2021

sim - muito bom vamos continuar a usar a ferramenta desta fora proposta atrelado ao hub,4 of 5,Nov 23 2021

yes very good it helps to sync all devices and keep a very clean communication,2 of 5,Nov 23 2021

I have not received any the notifications I set up in HubSpot to notify me in outlook.,1 of 5,Nov 22 2021

Outlook works well now that I've disabled HubSpot. Have not had a great experience with HubSpot enabled.,2 of 5,Nov 22 2021

Pas intuitif. Information disséminée. Impossible de tracer une conversation retrouver une demande...,1 of 5,Nov 22 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

Still not a clean integration to capture emails to prospects. Sometimes it works and other times it doesn't. I have to waste time searching for instruction on how to connect HubSpot to Office 365.,2 of 5,Nov 24 2021

I have to log in with a security code every single day. It opens in Internet Explorer 11 which is not supported. Your tech people could not fix this.,1 of 5,Nov 24 2021

outlook + HubSpot is working very well. i like how it syncs emails to HubSpot,5 of 5,Nov 23 2021

Ha funcionado bien y me ayuda en lo que necesito para mis actividades de cada día,5 of 5,Nov 23 2021

How well is Outlook working for you - guess you mean the HubSpot add-in? Not at all - useless crashes Outlook repeatedly and cannot be used at all. Has to be disabled.,1 of 5,Nov 23 2021

sim - muito bom vamos continuar a usar a ferramenta desta fora proposta atrelado ao hub,4 of 5,Nov 23 2021

yes very good it helps to sync all devices and keep a very clean communication,2 of 5,Nov 23 2021

I have not received any the notifications I set up in HubSpot to notify me in outlook.,1 of 5,Nov 22 2021

Outlook works well now that I've disabled HubSpot. Have not had a great experience with HubSpot enabled.,2 of 5,Nov 22 2021

Pas intuitif. Information disséminée. Impossible de tracer une conversation retrouver une demande...,1 of 5,Nov 22 2021

trcyuhjnkmlihtrttyuijokiuyt6rfygygyufyufyfyufuyf fufuuyfuyfuyfyu uy f uyf uyfuyf uyfuyfu,1 of 5,Nov 19 2021

HubSpot integration with Outlook has been a gamechanger for my business. Now I can initiate emails out of HubSpot and use Outlook to follow on while HubSpot continues to track each of the exchanges. It is helping me transition from excel spreadsheets and Outlook to a more singular CRM system which is HubSpot. I am currently using the free plan and while most CRM free versions do not include Outlook integration HubSpot does. This is the single most useful feature for me and I am grateful to HubSpot for providing this great service to me for free as I work hard to grow my business. Thank you!,5 of 5,Nov 18 2021

HubSpot window pop open on every single email and slow other addons that are essential for me.,2 of 5,Nov 18 2021

Outlook bien. HubSpot no. Cuando quiero que un correo tenga seguimiento tarda mucho y en prenderse la instrucción. Y después de enviado se cambia el estilo y se quitan los Bullets,1 of 5,Nov 18 2021

HubSpot add-on on Outlook drastically slows down Outlook - this is the only drawback otherwise it is well intended product.,2 of 5,Nov 18 2021

HubSpot's outlook extension keeps asking me to log in every week. It's a bit annoying.,1 of 5,Nov 18 2021

While the functionality of the Gmail/Outlook email extensions should be the same HubSpot for Outlook must be manually "turned on" every time you access outlook or send an email. While this is a simple change retraining a sales team to manually open their HubSpot add-in is not a welcome one. "Pinning" the HubSpot pane so it stays open has performed inconsistently. I'm sure these issues are on Outlooks side as otherwise the HubSpot add-in works well but because tracking and logging is the basis of the tool and this is no longer guaranteed when opening Outlook it's value is greatly diminished. It not takes more clicks to log an email than it does to forward an email to the HubSpot forwarding address.,2 of 5,Nov 17 2021

As HubSpot keeps crashing my outlook it is Slowing me down . This is affecting my productivity,1 of 5,Nov 17 2021

Outlook very good and very useful for office work and for invite meetings and seeing mails,3 of 5,Nov 17 2021

There are many issues with this integration first of all it only logs emails when the HubSpot extension tab is open but if you pin it open it obscures the email drafting real estate. The meeting link is fine but it doesn't let the user reschedule the event.,2 of 5,Nov 17 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

Still not a clean integration to capture emails to prospects. Sometimes it works and other times it doesn't. I have to waste time searching for instruction on how to connect HubSpot to Office 365.,2 of 5,Nov 24 2021

I have to log in with a security code every single day. It opens in Internet Explorer 11 which is not supported. Your tech people could not fix this.,1 of 5,Nov 24 2021

outlook + HubSpot is working very well. i like how it syncs emails to HubSpot,5 of 5,Nov 23 2021

Ha funcionado bien y me ayuda en lo que necesito para mis actividades de cada día,5 of 5,Nov 23 2021

How well is Outlook working for you - guess you mean the HubSpot add-in? Not at all - useless crashes Outlook repeatedly and cannot be used at all. Has to be disabled.,1 of 5,Nov 23 2021

sim - muito bom vamos continuar a usar a ferramenta desta fora proposta atrelado ao hub,4 of 5,Nov 23 2021

yes very good it helps to sync all devices and keep a very clean communication,2 of 5,Nov 23 2021

I have not received any the notifications I set up in HubSpot to notify me in outlook.,1 of 5,Nov 22 2021

Outlook works well now that I've disabled HubSpot. Have not had a great experience with HubSpot enabled.,2 of 5,Nov 22 2021

Pas intuitif. Information disséminée. Impossible de tracer une conversation retrouver une demande...,1 of 5,Nov 22 2021

trcyuhjnkmlihtrttyuijokiuyt6rfygygyufyufyfyufuyf fufuuyfuyfuyfyu uy f uyf uyfuyf uyfuyfu,1 of 5,Nov 19 2021

HubSpot integration with Outlook has been a gamechanger for my business. Now I can initiate emails out of HubSpot and use Outlook to follow on while HubSpot continues to track each of the exchanges. It is helping me transition from excel spreadsheets and Outlook to a more singular CRM system which is HubSpot. I am currently using the free plan and while most CRM free versions do not include Outlook integration HubSpot does. This is the single most useful feature for me and I am grateful to HubSpot for providing this great service to me for free as I work hard to grow my business. Thank you!,5 of 5,Nov 18 2021

HubSpot window pop open on every single email and slow other addons that are essential for me.,2 of 5,Nov 18 2021

Outlook bien. HubSpot no. Cuando quiero que un correo tenga seguimiento tarda mucho y en prenderse la instrucción. Y después de enviado se cambia el estilo y se quitan los Bullets,1 of 5,Nov 18 2021

HubSpot add-on on Outlook drastically slows down Outlook - this is the only drawback otherwise it is well intended product.,2 of 5,Nov 18 2021

HubSpot's outlook extension keeps asking me to log in every week. It's a bit annoying.,1 of 5,Nov 18 2021

While the functionality of the Gmail/Outlook email extensions should be the same HubSpot for Outlook must be manually "turned on" every time you access outlook or send an email. While this is a simple change retraining a sales team to manually open their HubSpot add-in is not a welcome one. "Pinning" the HubSpot pane so it stays open has performed inconsistently. I'm sure these issues are on Outlooks side as otherwise the HubSpot add-in works well but because tracking and logging is the basis of the tool and this is no longer guaranteed when opening Outlook it's value is greatly diminished. It not takes more clicks to log an email than it does to forward an email to the HubSpot forwarding address.,2 of 5,Nov 17 2021

As HubSpot keeps crashing my outlook it is Slowing me down . This is affecting my productivity,1 of 5,Nov 17 2021

Outlook very good and very useful for office work and for invite meetings and seeing mails,3 of 5,Nov 17 2021

There are many issues with this integration first of all it only logs emails when the HubSpot extension tab is open but if you pin it open it obscures the email drafting real estate. The meeting link is fine but it doesn't let the user reschedule the event.,2 of 5,Nov 17 2021

bien bien bien bien bien me parece biennnnnnnnnnn.................................................,4 of 5,Nov 15 2021

It was slightly unclear at first but I eventually saw that it would always stay active whenever opening Outlook which is better than having to always sign in when emails were through Gmail.,4 of 5,Nov 15 2021

Outlook is no problem,3 of 5,Nov 15 2021

isn't stable crashes serveral time a day/ is asking always (30 sec) for login because it does not safe the credentials it isn't possible to uncheck contact bar => which makes outlook also crashing,1 of 5,Nov 15 2021

It works decently well. My main issue is when creating an email it loads for a while and I have to sit and wait on the spinning ring to stop. Wish it worked more seamlessly.,2 of 5,Nov 12 2021

The over-all experience with Microsoft is mind-blowing from where they were in the 90s. No more upgrades to the software it is done now by subscription as the updates roll out they are instantly added to one's subscription for use. A lot cheaper than paying $500.00 for the software each year as before and the increased turnaround time when calling (30-minutes or less) for assistance with software issues is a game changer as well.,5 of 5,Nov 12 2021

After the installation you are pretty much ready to go. There's still a lot of features I don't use and default settings I had to change but in general it help the overall sales process.,4 of 5,Nov 12 2021

It started well but kept crashing my outlook so I had to turn it off. Fixed the issue immediately,1 of 5,Nov 12 2021

Outlook works well but the link between Outlook and HubSpot is not always consistent and causes Outlook to crash.,1 of 5,Nov 11 2021

Absolutely love this integration. It saves so much time and helps keep things organized. Suggestions: - track emails that were sent as BCC. - the ability to 'untrack' a certain email after it was sent with tracking on.,4 of 5,Nov 10 2021

I have used Outlook for many years and it works well. The integration with HubSpot is very good.,5 of 5,Dec 8 2021

Je connais et j'utilise Outlook depuis très longtemps. Je tiens à garder ce programme.,2 of 5,Dec 7 2021

Works well though prefer gsuit overall because integrates better. But I use outlook for all of my emails and it seems to work fine and I like the HubSpot tab. I like being able to track emails and also use templates for all of my various emails related to my customers.,4 of 5,Dec 7 2021

Could be vastly improved. Every day when we come into work we have to open Outlook and then remember to open the HubSpot Sales Add-In. You then have to pin open the add-in every day and then click to log the email. By comparison Gmail opened automatically and would track unless you said otherwise which was much more efficient.,2 of 5,Dec 7 2021

Muito legal a funcionalidade de registrar interação no CRM do outlook porém a funcionalidade registra todos os contatos em cópia do e-mail que muitas vezes não são clientes seria excelente se fosse possível escolher a qual e-mail associar os registros e não associar em todos em cópia pois isso acaba sujando a base.,3 of 5,Dec 6 2021

Our company want the mails to track automatically without manually clicking on the subsport extension all the time. I am really suprised you havnt fix or prioritized this earlier there must have been other customers pointing out this issue.,1 of 5,Dec 6 2021

Outlook rocks - HubSpot plug in is not great. Use it for the convenience as that outweighs the inconveniences,3 of 5,Dec 6 2021

layout/formatting geht verloren ..........................................................,2 of 5,Dec 5 2021

Outlook hat leider keine geminsam nutzbare Kontaktbasis oder die Möglichkeit mails zuzuordnen. das gleicht HubSpot teils aus,3 of 5,Dec 3 2021

Encuentro el servicio Malo porque no he encontrado su correcta conexión con HubSpot,2 of 5,Dec 2 2021

Nada do que eu pretendia fazer com a integração está funcionando. E principalmente a parte de criar link automático de reunião agendada me causa um grande transtorno.,2 of 5,Dec 2 2021

Encuentro muy útil la integración sin embargo no es tan amigable ni intuitiva. Hay correos que no ha monitoreo a pesar de activar esa opción. Los correos que envió desde marketing los veo solo en HubSpot no en Outlook cosa que es necesaria puesto que quiero trabajar con esos correos desde Outlook.,3 of 5,Dec 2 2021

really good as it is easy of use. i dont see me using out mail systems for daily use,4 of 5,Dec 2 2021

There seems to be a lot of functionality with both Gmail and Outlook 365 but very little to none with Outlook Exchange which seems to still be in the beta version and with so many different workarounds involved to get the most basic of functionality,3 of 5,Dec 1 2021

I recently connected my outlook to HubSpot however; nothing is tracking. No conversation history no email logs etc. Its essentially useless at this time,1 of 5,Dec 1 2021

The Outlook side panel in HubSpot has limited functionality especially when compared with the similar function for the Salesforce side panel. You are not able to directly attach emails to a contact record or associate with an opportunity or other related item.,2 of 5,Nov 30 2021

Outlook works well for me enabling my thre edifferent work emails to be shown in one program,5 of 5,Nov 30 2021

Really wish Outlook had a way for Teams to connect with HubSpot meetings easily so that I could create meetings in HubSpot and have it sent to the right people and with a team meeting link automatically created. Gmail is so much better with HubSpot but unfortunately stuck with MS for now.,1 of 5,Nov 30 2021

Outlook is working ok. On the other hand (not that you are asking about it) but HubSpot add-on is making Outlook fail sometimes the sidebar seems to be full of bugs email texts are appearing behind the sidebar with me not being able to see the rest of the text if not shutting the addon down. Although this does happen only when my other addon "Grammarly" is enabled".,3 of 5,Nov 29 2021

Outlook is working well for client facing emails. It's a easy way to manage inbound.,2 of 5,Nov 29 2021

Still not a clean integration to capture emails to prospects. Sometimes it works and other times it doesn't. I have to waste time searching for instruction on how to connect HubSpot to Office 365.,2 of 5,Nov 24 2021

I have to log in with a security code every single day. It opens in Internet Explorer 11 which is not supported. Your tech people could not fix this.,1 of 5,Nov 24 2021

outlook + HubSpot is working very well. i like how it syncs emails to HubSpot,5 of 5,Nov 23 2021

Ha funcionado bien y me ayuda en lo que necesito para mis actividades de cada día,5 of 5,Nov 23 2021

How well is Outlook working for you - guess you mean the HubSpot add-in? Not at all - useless crashes Outlook repeatedly and cannot be used at all. Has to be disabled.,1 of 5,Nov 23 2021

sim - muito bom vamos continuar a usar a ferramenta desta fora proposta atrelado ao hub,4 of 5,Nov 23 2021

yes very good it helps to sync all devices and keep a very clean communication,2 of 5,Nov 23 2021

I have not received any the notifications I set up in HubSpot to notify me in outlook.,1 of 5,Nov 22 2021

Outlook works well now that I've disabled HubSpot. Have not had a great experience with HubSpot enabled.,2 of 5,Nov 22 2021

Pas intuitif. Information disséminée. Impossible de tracer une conversation retrouver une demande...,1 of 5,Nov 22 2021

trcyuhjnkmlihtrttyuijokiuyt6rfygygyufyufyfyufuyf fufuuyfuyfuyfyu uy f uyf uyfuyf uyfuyfu,1 of 5,Nov 19 2021

HubSpot integration with Outlook has been a gamechanger for my business. Now I can initiate emails out of HubSpot and use Outlook to follow on while HubSpot continues to track each of the exchanges. It is helping me transition from excel spreadsheets and Outlook to a more singular CRM system which is HubSpot. I am currently using the free plan and while most CRM free versions do not include Outlook integration HubSpot does. This is the single most useful feature for me and I am grateful to HubSpot for providing this great service to me for free as I work hard to grow my business. Thank you!,5 of 5,Nov 18 2021

HubSpot window pop open on every single email and slow other addons that are essential for me.,2 of 5,Nov 18 2021

Outlook bien. HubSpot no. Cuando quiero que un correo tenga seguimiento tarda mucho y en prenderse la instrucción. Y después de enviado se cambia el estilo y se quitan los Bullets,1 of 5,Nov 18 2021

HubSpot add-on on Outlook drastically slows down Outlook - this is the only drawback otherwise it is well intended product.,2 of 5,Nov 18 2021

HubSpot's outlook extension keeps asking me to log in every week. It's a bit annoying.,1 of 5,Nov 18 2021

